×Ö·û----GB-------Unicode------UTF-8
ÍÂ     c2cd      5410        e5-90-90 
ÍÃ     c3cd      5154        e5-85-94 
ÍÄ     c4cd      6e4d        e6-b9-8d 
ÍÅ     c5cd      56e2        e5-9b-a2 
ÍÆ     c6cd      63a8        e6-8e-a8 
ÍÇ     c7cd      9893        e9-a2-93 
ÍÈ     c8cd      817f        e8-85-bf 
ÍÉ     c9cd      8715        e8-9c-95 
ÍÊ     cacd      892a        e8-a4-aa 
ÍË     cbcd      9000        e9-80-80 
ÍÌ     cccd      541e        e5-90-9e 
ÍÍ     cdcd      5c6f        e5-b1-af 
ÍÎ     cecd      81c0        e8-87-80 
ÍÏ     cfcd      62d6        e6-8b-96 
ÍÐ     d0cd      6258        e6-89-98 
ÍÑ     d1cd      8131        e8-84-b1 
ÍÒ     d2cd      9e35        e9-b8-b5 
ÍÓ     d3cd      9640        e9-99-80 
ÍÔ     d4cd      9a6e        e9-a9-ae 
ÍÕ     d5cd      9a7c        e9-a9-bc 
ÍÖ     d6cd      692d        e6-a4-ad 
Í×     d7cd      59a5        e5-a6-a5 
ÍØ     d8cd      62d3        e6-8b-93 
ÍÙ     d9cd      553e        e5-94-be 
ÍÚ     dacd      6316        e6-8c-96 
ÍÛ     dbcd      54c7        e5-93-87 
ÍÜ     dccd      86d9        e8-9b-99 
ÍÝ     ddcd      6d3c        e6-b4-bc 
ÍÞ     decd      5a03        e5-a8-83 
Íß     dfcd      74e6        e7-93-a6 
Íà     e0cd      889c        e8-a2-9c 
Íá     e1cd      6b6a        e6-ad-aa 
Íâ     e2cd      5916        e5-a4-96 
Íã     e3cd      8c4c        e8-b1-8c 
Íä     e4cd      5f2f        e5-bc-af 
Íå     e5cd      6e7e        e6-b9-be 
Íæ     e6cd      73a9        e7-8e-a9 
Íç     e7cd      987d        e9-a1-bd 
Íè     e8cd      4e38        e4-b8-b8 
Íé     e9cd      70f7        e7-83-b7 
Íê     eacd      5b8c        e5-ae-8c 
Íë     ebcd      7897        e7-a2-97 
Íì     eccd      633d        e6-8c-bd 
Íí     edcd      665a        e6-99-9a 
Íî     eecd      7696        e7-9a-96 
Íï     efcd      60cb        e6-83-8b 
Íð     f0cd      5b9b        e5-ae-9b 
Íñ     f1cd      5a49        e5-a9-89 
Íò     f2cd      4e07        e4-b8-87 
Íó     f3cd      8155        e8-85-95 
Íô     f4cd      6c6a        e6-b1-aa 
Íõ     f5cd      738b        e7-8e-8b 
Íö     f6cd      4ea1        e4-ba-a1 
Í÷     f7cd      6789        e6-9e-89 
Íø     f8cd      7f51        e7-bd-91 
Íù     f9cd      5f80        e5-be-80 
Íú     facd      65fa        e6-97-ba 
Íû     fbcd      671b        e6-9c-9b 
Íü     fccd      5fd8        e5-bf-98 
Íý     fdcd      5984        e5-a6-84 
Íþ     fecd      5a01        e5-a8-81 
Î¡     a1ce      5dcd        e5-b7-8d 
Î¢     a2ce      5fae        e5-be-ae 
Î£     a3ce      5371        e5-8d-b1 
Î¤     a4ce      97e6        e9-9f-a6 
Î¥     a5ce      8fdd        e8-bf-9d 
Î¦     a6ce      6845        e6-a1-85 
Î§     a7ce      56f4        e5-9b-b4 
Î¨     a8ce      552f        e5-94-af 
Î©     a9ce      60df        e6-83-9f 
Îª     aace      4e3a        e4-b8-ba 
Î«     abce      6f4d        e6-bd-8d 
Î¬     acce      7ef4        e7-bb-b4 
Î­     adce      82c7        e8-8b-87 
Î®     aece      840e        e8-90-8e 
Î¯     afce      59d4        e5-a7-94 
Î°     b0ce      4f1f        e4-bc-9f 
Î±     b1ce      4f2a        e4-bc-aa 
Î²     b2ce      5c3e        e5-b0-be 
Î³     b3ce      7eac        e7-ba-ac 
Î´     b4ce      672a        e6-9c-aa 
Îµ     b5ce      851a        e8-94-9a 
Î¶     b6ce      5473        e5-91-b3 
Î·     b7ce      754f        e7-95-8f 
Î¸     b8ce      80c3        e8-83-83 
Î¹     b9ce      5582        e5-96-82 
Îº     bace      9b4f        e9-ad-8f 
Î»     bbce      4f4d        e4-bd-8d 
Î¼     bcce      6e2d        e6-b8-ad 
Î½     bdce      8c13        e8-b0-93 
Î¾     bece      5c09        e5-b0-89 
Î¿     bfce      6170        e6-85-b0 
ÎÀ     c0ce      536b        e5-8d-ab 
ÎÁ     c1ce      761f        e7-98-9f 
ÎÂ     c2ce      6e29        e6-b8-a9 
ÎÃ     c3ce      868a        e8-9a-8a 
ÎÄ     c4ce      6587        e6-96-87 
ÎÅ     c5ce      95fb        e9-97-bb 
ÎÆ     c6ce      7eb9        e7-ba-b9 
ÎÇ     c7ce      543b        e5-90-bb 
ÎÈ     c8ce      7a33        e7-a8-b3 
ÎÉ     c9ce      7d0a        e7-b4-8a 
ÎÊ     cace      95ee        e9-97-ae 
ÎË     cbce      55e1        e5-97-a1 
ÎÌ     ccce      7fc1        e7-bf-81 
ÎÍ     cdce      74ee        e7-93-ae 
ÎÎ     cece      631d        e6-8c-9d 
ÎÏ     cfce      8717        e8-9c-97 
ÎÐ     d0ce      6da1        e6-b6-a1 
ÎÑ     d1ce      7a9d        e7-aa-9d 
ÎÒ     d2ce      6211        e6-88-91 
ÎÓ     d3ce      65a1        e6-96-a1 
ÎÔ     d4ce      5367        e5-8d-a7 
ÎÕ     d5ce      63e1        e6-8f-a1 
ÎÖ     d6ce      6c83        e6-b2-83 
Î×     d7ce      5deb        e5-b7-ab 
ÎØ     d8ce      545c        e5-91-9c 
ÎÙ     d9ce      94a8        e9-92-a8 
ÎÚ     dace      4e4c        e4-b9-8c 
ÎÛ     dbce      6c61        e6-b1-a1 
ÎÜ     dcce      8bec        e8-af-ac 
ÎÝ     ddce      5c4b        e5-b1-8b 
ÎÞ     dece      65e0        e6-97-a0 
Îß     dfce      829c        e8-8a-9c 
Îà     e0ce      68a7        e6-a2-a7 
Îá     e1ce      543e        e5-90-be 
Îâ     e2ce      5434        e5-90-b4 
Îã     e3ce      6bcb        e6-af-8b 
Îä     e4ce      6b66        e6-ad-a6 
Îå     e5ce      4e94        e4-ba-94 
Îæ     e6ce      6342        e6-8d-82 
Îç     e7ce      5348        e5-8d-88 
Îè     e8ce      821e        e8-88-9e 
Îé     e9ce      4f0d        e4-bc-8d 
Îê     eace      4fae        e4-be-ae 
Îë     ebce      575e        e5-9d-9e 
Îì     ecce      620a        e6-88-8a 
Îí     edce      96fe        e9-9b-be 
Îî     eece      6664        e6-99-a4 
Îï     efce      7269        e7-89-a9 
Îð     f0ce      52ff        e5-8b-bf 
Îñ     f1ce      52a1        e5-8a-a1 
Îò     f2ce      609f        e6-82-9f 
Îó     f3ce      8bef        e8-af-af 
Îô     f4ce      6614        e6-98-94 
Îõ     f5ce      7199        e7-86-99 
Îö     f6ce      6790        e6-9e-90 
Î÷     f7ce      897f        e8-a5-bf 
Îø     f8ce      7852        e7-a1-92 
Îù     f9ce      77fd        e7-9f-bd 
Îú     face      6670        e6-99-b0 
Îû     fbce      563b        e5-98-bb 
Îü     fcce      5438        e5-90-b8 
Îý     fdce      9521        e9-94-a1 
Îþ     fece      727a        e7-89-ba 
Ï¡     a1cf      7a00        e7-a8-80 
Ï¢     a2cf      606f        e6-81-af 
Ï£     a3cf      5e0c        e5-b8-8c 
Ï¤     a4cf      6089        e6-82-89 
Ï¥     a5cf      819d        e8-86-9d 
Ï¦     a6cf      5915        e5-a4-95 
Ï§     a7cf      60dc        e6-83-9c 
Ï¨     a8cf      7184        e7-86-84 
Ï©     a9cf      70ef        e7-83-af 
Ïª     aacf      6eaa        e6-ba-aa 
Ï«     abcf      6c50        e6-b1-90 
Ï¬     accf      7280        e7-8a-80 
Ï­     adcf      6a84        e6-aa-84 
Ï®     aecf      88ad        e8-a2-ad 
Ï¯     afcf      5e2d        e5-b8-ad 
Ï°     b0cf      4e60        e4-b9-a0 
Ï±     b1cf      5ab3        e5-aa-b3 
Ï²     b2cf      559c        e5-96-9c 
Ï³     b3cf      94e3        e9-93-a3 
Ï´     b4cf      6d17        e6-b4-97 
Ïµ     b5cf      7cfb        e7-b3-bb 
Ï¶     b6cf      9699        e9-9a-99 
Ï·     b7cf      620f        e6-88-8f 
Ï¸     b8cf      7ec6        e7-bb-86 
Ï¹     b9cf      778e        e7-9e-8e 
Ïº     bacf      867e        e8-99-be 
Ï»     bbcf      5323        e5-8c-a3 
Ï¼     bccf      971e        e9-9c-9e 
Ï½     bdcf      8f96        e8-be-96 
Ï¾     becf      6687        e6-9a-87 
Ï¿     bfcf      5ce1        e5-b3-a1 
ÏÀ     c0cf      4fa0        e4-be-a0 
ÏÁ     c1cf      72ed        e7-8b-ad 
ÏÂ     c2cf      4e0b        e4-b8-8b 
ÏÃ     c3cf      53a6        e5-8e-a6 
ÏÄ     c4cf      590f        e5-a4-8f 
ÏÅ     c5cf      5413        e5-90-93 
ÏÆ     c6cf      6380        e6-8e-80 
ÏÇ     c7cf      9528        e9-94-a8 
ÏÈ     c8cf      5148        e5-85-88 
ÏÉ     c9cf      4ed9        e4-bb-99 
ÏÊ     cacf      9c9c        e9-b2-9c 
ÏË     cbcf      7ea4        e7-ba-a4 
ÏÌ     cccf      54b8        e5-92-b8 
ÏÍ     cdcf      8d24        e8-b4-a4 
ÏÎ     cecf      8854        e8-a1-94 
ÏÏ     cfcf      8237        e8-88-b7 
ÏÐ     d0cf      95f2        e9-97-b2 
ÏÑ     d1cf      6d8e        e6-b6-8e 
ÏÒ     d2cf      5f26        e5-bc-a6 
ÏÓ     d3cf      5acc        e5-ab-8c 
ÏÔ     d4cf      663e        e6-98-be 
ÏÕ     d5cf      9669        e9-99-a9 
ÏÖ     d6cf      73b0        e7-8e-b0 
Ï×     d7cf      732e        e7-8c-ae 
ÏØ     d8cf      53bf        e5-8e-bf 
ÏÙ     d9cf      817a        e8-85-ba 
ÏÚ     dacf      9985        e9-a6-85 
ÏÛ     dbcf      7fa1        e7-be-a1 
ÏÜ     dccf      5baa        e5-ae-aa 
ÏÝ     ddcf      9677        e9-99-b7 
ÏÞ     decf      9650        e9-99-90 
Ïß     dfcf      7ebf        e7-ba-bf 
Ïà     e0cf      76f8        e7-9b-b8 
Ïá     e1cf      53a2        e5-8e-a2 
Ïâ     e2cf      9576        e9-95-b6 
Ïã     e3cf      9999        e9-a6-99 
Ïä     e4cf      7bb1        e7-ae-b1 
Ïå     e5cf      8944        e8-a5-84 
Ïæ     e6cf      6e58        e6-b9-98 
Ïç     e7cf      4e61        e4-b9-a1 
Ïè     e8cf      7fd4        e7-bf-94 
Ïé     e9cf      7965        e7-a5-a5 
Ïê     eacf      8be6        e8-af-a6 
Ïë     ebcf      60f3        e6-83-b3 
Ïì     eccf      54cd        e5-93-8d 
Ïí     edcf      4eab        e4-ba-ab 
Ïî     eecf      9879        e9-a1-b9 
Ïï     efcf      5df7        e5-b7-b7 
Ïð     f0cf      6a61        e6-a9-a1 
Ïñ     f1cf      50cf        e5-83-8f 
Ïò     f2cf      5411        e5-90-91 
Ïó     f3cf      8c61        e8-b1-a1 
Ïô     f4cf      8427        e8-90-a7 
Ïõ     f5cf      785d        e7-a1-9d 
Ïö     f6cf      9704        e9-9c-84 
Ï÷     f7cf      524a        e5-89-8a 
Ïø     f8cf      54ee        e5-93-ae 
Ïù     f9cf      56a3        e5-9a-a3 
Ïú     facf      9500        e9-94-80 
Ïû     fbcf      6d88        e6-b6-88 
Ïü     fccf      5bb5        e5-ae-b5 
Ïý     fdcf      6dc6        e6-b7-86 
Ïþ     fecf      6653        e6-99-93 
Ð¡     a1d0      5c0f        e5-b0-8f 
Ð¢     a2d0      5b5d        e5-ad-9d 
Ð£     a3d0      6821        e6-a0-a1 
Ð¤     a4d0      8096        e8-82-96 
Ð¥     a5d0      5578        e5-95-b8 
Ð¦     a6d0      7b11        e7-ac-91 
Ð§     a7d0      6548        e6-95-88 
Ð¨     a8d0      6954        e6-a5-94 
Ð©     a9d0      4e9b        e4-ba-9b 
Ðª     aad0      6b47        e6-ad-87 
Ð«     abd0      874e        e8-9d-8e 
Ð¬     acd0      978b        e9-9e-8b 
Ð­     add0      534f        e5-8d-8f 
Ð®     aed0      631f        e6-8c-9f 
Ð¯     afd0      643a        e6-90-ba 
Ð°     b0d0      90aa        e9-82-aa 
Ð±     b1d0      659c        e6-96-9c 
Ð²     b2d0      80c1        e8-83-81 
Ð³     b3d0      8c10        e8-b0-90 
Ð´     b4d0      5199        e5-86-99 
Ðµ     b5d0      68b0        e6-a2-b0 
Ð¶     b6d0      5378        e5-8d-b8 
Ð·     b7d0      87f9        e8-9f-b9 
Ð¸     b8d0      61c8        e6-87-88 
Ð¹     b9d0      6cc4        e6-b3-84 
Ðº     bad0      6cfb        e6-b3-bb 
Ð»     bbd0      8c22        e8-b0-a2 
Ð¼     bcd0      5c51        e5-b1-91 
Ð½     bdd0      85aa        e8-96-aa 
Ð¾     bed0      82af        e8-8a-af 
Ð¿     bfd0      950c        e9-94-8c 
ÐÀ     c0d0      6b23        e6-ac-a3 
ÐÁ     c1d0      8f9b        e8-be-9b 
ÐÂ     c2d0      65b0        e6-96-b0 
ÐÃ     c3d0      5ffb        e5-bf-bb 
ÐÄ     c4d0      5fc3        e5-bf-83 
ÐÅ     c5d0      4fe1        e4-bf-a1 
ÐÆ     c6d0      8845        e8-a1-85 
ÐÇ     c7d0      661f        e6-98-9f 
ÐÈ     c8d0      8165        e8-85-a5 
ÐÉ     c9d0      7329        e7-8c-a9 
ÐÊ     cad0      60fa        e6-83-ba 
ÐË     cbd0      5174        e5-85-b4 
ÐÌ     ccd0      5211        e5-88-91 
ÐÍ     cdd0      578b        e5-9e-8b 
ÐÎ     ced0      5f62        e5-bd-a2 
ÐÏ     cfd0      90a2        e9-82-a2 
ÐÐ     d0d0      884c        e8-a1-8c 
ÐÑ     d1d0      9192        e9-86-92 
ÐÒ     d2d0      5e78        e5-b9-b8 
ÐÓ     d3d0      674f        e6-9d-8f 
ÐÔ     d4d0      6027        e6-80-a7 
ÐÕ     d5d0      59d3        e5-a7-93 
ÐÖ     d6d0      5144        e5-85-84 
Ð×     d7d0      51f6        e5-87-b6 
ÐØ     d8d0      80f8        e8-83-b8 
ÐÙ     d9d0      5308        e5-8c-88 
ÐÚ     dad0      6c79        e6-b1-b9 
ÐÛ     dbd0      96c4        e9-9b-84 
ÐÜ     dcd0      718a        e7-86-8a 
ÐÝ     ddd0      4f11        e4-bc-91 
ÐÞ     ded0      4fee        e4-bf-ae 
Ðß     dfd0      7f9e        e7-be-9e 
Ðà     e0d0      673d        e6-9c-bd 
Ðá     e1d0      55c5        e5-97-85 
Ðâ     e2d0      9508        e9-94-88 
Ðã     e3d0      79c0        e7-a7-80 
Ðä     e4d0      8896        e8-a2-96 
Ðå     e5d0      7ee3        e7-bb-a3 
Ðæ     e6d0      589f        e5-a2-9f 
Ðç     e7d0      620c        e6-88-8c 
Ðè     e8d0      9700        e9-9c-80 
Ðé     e9d0      865a        e8-99-9a 
Ðê     ead0      5618        e5-98-98 
Ðë     ebd0      987b        e9-a1-bb 
Ðì     ecd0      5f90        e5-be-90 
Ðí     edd0      8bb8        e8-ae-b8 
Ðî     eed0      84c4        e8-93-84 
Ðï     efd0      9157        e9-85-97 
Ðð     f0d0      53d9        e5-8f-99 
Ðñ     f1d0      65ed        e6-97-ad 
Ðò     f2d0      5e8f        e5-ba-8f 
Ðó     f3d0      755c        e7-95-9c 
Ðô     f4d0      6064        e6-81-a4 
Ðõ     f5d0      7d6e        e7-b5-ae 
Ðö     f6d0      5a7f        e5-a9-bf 
Ð÷     f7d0      7eea        e7-bb-aa 
Ðø     f8d0      7eed        e7-bb-ad 
Ðù     f9d0      8f69        e8-bd-a9 
Ðú     fad0      55a7        e5-96-a7 
Ðû     fbd0      5ba3        e5-ae-a3 
Ðü     fcd0      60ac        e6-82-ac 
Ðý     fdd0      65cb        e6-97-8b 
Ðþ     fed0      7384        e7-8e-84 
Ñ¡     a1d1      9009        e9-80-89 
Ñ¢     a2d1      7663        e7-99-a3 
Ñ£     a3d1      7729        e7-9c-a9 
Ñ¤     a4d1      7eda        e7-bb-9a 
Ñ¥     a5d1      9774        e9-9d-b4 
Ñ¦     a6d1      859b        e8-96-9b 
Ñ§     a7d1      5b66        e5-ad-a6 
Ñ¨     a8d1      7a74        e7-a9-b4 
Ñ©     a9d1      96ea        e9-9b-aa 
Ñª     aad1      8840        e8-a1-80 
Ñ«     abd1      52cb        e5-8b-8b 
Ñ¬     acd1      718f        e7-86-8f 
Ñ­     add1      5faa        e5-be-aa 
Ñ®     aed1      65ec        e6-97-ac 
Ñ¯     afd1      8be2        e8-af-a2 
Ñ°     b0d1      5bfb        e5-af-bb 
Ñ±     b1d1      9a6f        e9-a9-af 
Ñ²     b2d1      5de1        e5-b7-a1 
Ñ³     b3d1      6b89        e6-ae-89 
Ñ´     b4d1      6c5b        e6-b1-9b 
Ñµ     b5d1      8bad        e8-ae-ad 
Ñ¶     b6d1      8baf        e8-ae-af 
Ñ·     b7d1      900a        e9-80-8a 
Ñ¸     b8d1      8fc5        e8-bf-85 
Ñ¹     b9d1      538b        e5-8e-8b 
Ñº     bad1      62bc        e6-8a-bc 
Ñ»     bbd1      9e26        e9-b8-a6 
Ñ¼     bcd1      9e2d        e9-b8-ad 
Ñ½     bdd1      5440        e5-91-80 
Ñ¾     bed1      4e2b        e4-b8-ab 
Ñ¿     bfd1      82bd        e8-8a-bd 
ÑÀ     c0d1      7259        e7-89-99 
ÑÁ     c1d1      869c        e8-9a-9c 
ÑÂ     c2d1      5d16        e5-b4-96 
ÑÃ     c3d1      8859        e8-a1-99 
ÑÄ     c4d1      6daf        e6-b6-af 
ÑÅ     c5d1      96c5        e9-9b-85 
ÑÆ     c6d1      54d1        e5-93-91 
ÑÇ     c7d1      4e9a        e4-ba-9a 
ÑÈ     c8d1      8bb6        e8-ae-b6 
ÑÉ     c9d1      7109        e7-84-89 
ÑÊ     cad1      54bd        e5-92-bd 
ÑË     cbd1      9609        e9-98-89 
ÑÌ     ccd1      70df        e7-83-9f 
ÑÍ     cdd1      6df9        e6-b7-b9 
ÑÎ     ced1      76d0        e7-9b-90 
ÑÏ     cfd1      4e25        e4-b8-a5 
ÑÐ     d0d1      7814        e7-a0-94 
ÑÑ     d1d1      8712        e8-9c-92 
ÑÒ     d2d1      5ca9        e5-b2-a9 
ÑÓ     d3d1      5ef6        e5-bb-b6 
ÑÔ     d4d1      8a00        e8-a8-80 
ÑÕ     d5d1      989c        e9-a2-9c 
ÑÖ     d6d1      960e        e9-98-8e 
Ñ×     d7d1      708e        e7-82-8e 
ÑØ     d8d1      6cbf        e6-b2-bf 
ÑÙ     d9d1      5944        e5-a5-84 
ÑÚ     dad1      63a9        e6-8e-a9 
ÑÛ     dbd1      773c        e7-9c-bc 
ÑÜ     dcd1      884d        e8-a1-8d 
ÑÝ     ddd1      6f14        e6-bc-94 
ÑÞ     ded1      8273        e8-89-b3 
Ñß     dfd1      5830        e5-a0-b0 
Ñà     e0d1      71d5        e7-87-95 
Ñá     e1d1      538c        e5-8e-8c 
Ñâ     e2d1      781a        e7-a0-9a 
Ñã     e3d1      96c1        e9-9b-81 
Ñä     e4d1      5501        e5-94-81 
Ñå     e5d1      5f66        e5-bd-a6 
Ñæ     e6d1      7130        e7-84-b0 
Ñç     e7d1      5bb4        e5-ae-b4 
Ñè     e8d1      8c1a        e8-b0-9a 
Ñé     e9d1      9a8c        e9-aa-8c 
Ñê     ead1      6b83        e6-ae-83 
Ñë     ebd1      592e        e5-a4-ae 
Ñì     ecd1      9e2f        e9-b8-af 
Ñí     edd1      79e7        e7-a7-a7 
Ñî     eed1      6768        e6-9d-a8 
Ñï     efd1      626c        e6-89-ac 
Ñð     f0d1      4f6f        e4-bd-af 
Ññ     f1d1      75a1        e7-96-a1 
Ñò     f2d1      7f8a        e7-be-8a 
Ñó     f3d1      6d0b        e6-b4-8b 
Ñô     f4d1      9633        e9-98-b3 
Ñõ     f5d1      6c27        e6-b0-a7 
Ñö     f6d1      4ef0        e4-bb-b0 
Ñ÷     f7d1      75d2        e7-97-92 
Ñø     f8d1      517b        e5-85-bb 
Ñù     f9d1      6837        e6-a0-b7 
Ñú     fad1      6f3e        e6-bc-be 
Ñû     fbd1      9080        e9-82-80 
Ñü     fcd1      8170        e8-85-b0 
Ñý     fdd1      5996        e5-a6-96 
Ñþ     fed1      7476        e7-91-b6 
Ò¡     a1d2      6447        e6-91-87 
Ò¢     a2d2      5c27        e5-b0-a7 
Ò£     a3d2      9065        e9-81-a5 
Ò¤     a4d2      7a91        e7-aa-91 
Ò¥     a5d2      8c23        e8-b0-a3 
Ò¦     a6d2      59da        e5-a7-9a 
Ò§     a7d2      54ac        e5-92-ac 
Ò¨     a8d2      8200        e8-88-80 
Ò©     a9d2      836f        e8-8d-af 
Òª     aad2      8981        e8-a6-81 
Ò«     abd2      8000        e8-80-80 
Ò¬     acd2      6930        e6-a4-b0 
Ò­     add2      564e        e5-99-8e 
Ò®     aed2      8036        e8-80-b6 
Ò¯     afd2      7237        e7-88-b7 
Ò°     b0d2      91ce        e9-87-8e 
Ò±     b1d2      51b6        e5-86-b6 
Ò²     b2d2      4e5f        e4-b9-9f 
Ò³     b3d2      9875        e9-a1-b5 
Ò´     b4d2      6396        e6-8e-96 
Òµ     b5d2      4e1a        e4-b8-9a 
Ò¶     b6d2      53f6        e5-8f-b6 
Ò·     b7d2      66f3        e6-9b-b3 
Ò¸     b8d2      814b        e8-85-8b 
Ò¹     b9d2      591c        e5-a4-9c 
Òº     bad2      6db2        e6-b6-b2 
Ò»     bbd2      4e00        e4-b8-80 
Ò¼     bcd2      58f9        e5-a3-b9 
Ò½     bdd2      533b        e5-8c-bb 
Ò¾     bed2      63d6        e6-8f-96 
Ò¿     bfd2      94f1        e9-93-b1 
ÒÀ     c0d2      4f9d        e4-be-9d 
ÒÁ     c1d2      4f0a        e4-bc-8a 
ÒÂ     c2d2      8863        e8-a1-a3 
ÒÃ     c3d2      9890        e9-a2-90 
ÒÄ     c4d2      5937        e5-a4-b7 
ÒÅ     c5d2      9057        e9-81-97 
ÒÆ     c6d2      79fb        e7-a7-bb 
ÒÇ     c7d2      4eea        e4-bb-aa 
ÒÈ     c8d2      80f0        e8-83-b0 
ÒÉ     c9d2      7591        e7-96-91 
ÒÊ     cad2      6c82        e6-b2-82 
ÒË     cbd2      5b9c        e5-ae-9c 
ÒÌ     ccd2      59e8        e5-a7-a8 
ÒÍ     cdd2      5f5d        e5-bd-9d 
ÒÎ     ced2      6905        e6-a4-85 
ÒÏ     cfd2      8681        e8-9a-81 
ÒÐ     d0d2      501a        e5-80-9a 
ÒÑ     d1d2      5df2        e5-b7-b2 
ÒÒ     d2d2      4e59        e4-b9-99 
ÒÓ     d3d2      77e3        e7-9f-a3 
ÒÔ     d4d2      4ee5        e4-bb-a5 
ÒÕ     d5d2      827a        e8-89-ba 
ÒÖ     d6d2      6291        e6-8a-91 
Ò×     d7d2      6613        e6-98-93 
ÒØ     d8d2      9091        e9-82-91 
ÒÙ     d9d2      5c79        e5-b1-b9 
ÒÚ     dad2      4ebf        e4-ba-bf 
ÒÛ     dbd2      5f79        e5-bd-b9 
ÒÜ     dcd2      81c6        e8-87-86 
ÒÝ     ddd2      9038        e9-80-b8 
ÒÞ     ded2      8084        e8-82-84 
Òß     dfd2      75ab        e7-96-ab 
Òà     e0d2      4ea6        e4-ba-a6 
Òá     e1d2      88d4        e8-a3-94 
Òâ     e2d2      610f        e6-84-8f 
Òã     e3d2      6bc5        e6-af-85 
Òä     e4d2      5fc6        e5-bf-86 
Òå     e5d2      4e49        e4-b9-89 
Òæ     e6d2      76ca        e7-9b-8a 
Òç     e7d2      6ea2        e6-ba-a2 
Òè     e8d2      8be3        e8-af-a3 
Òé     e9d2      8bae        e8-ae-ae 
Òê     ead2      8c0a        e8-b0-8a 
Òë     ebd2      8bd1        e8-af-91 
Òì     ecd2      5f02        e5-bc-82 
Òí     edd2      7ffc        e7-bf-bc 
Òî     eed2      7fcc        e7-bf-8c 
Òï     efd2      7ece        e7-bb-8e 
Òð     f0d2      8335        e8-8c-b5 
Òñ     f1d2      836b        e8-8d-ab 
Òò     f2d2      56e0        e5-9b-a0 
Òó     f3d2      6bb7        e6-ae-b7 
Òô     f4d2      97f3        e9-9f-b3 
Òõ     f5d2      9634        e9-98-b4 
Òö     f6d2      59fb        e5-a7-bb 
Ò÷     f7d2      541f        e5-90-9f 
Òø     f8d2      94f6        e9-93-b6 
Òù     f9d2      6deb        e6-b7-ab 
Òú     fad2      5bc5        e5-af-85 
Òû     fbd2      996e        e9-a5-ae 
Òü     fcd2      5c39        e5-b0-b9 
Òý     fdd2      5f15        e5-bc-95 
Òþ     fed2      9690        e9-9a-90 
Ó¡     a1d3      5370        e5-8d-b0 
Ó¢     a2d3      82f1        e8-8b-b1 
Ó£     a3d3      6a31        e6-a8-b1 
Ó¤     a4d3      5a74        e5-a9-b4 
Ó¥     a5d3      9e70        e9-b9-b0 
Ó¦     a6d3      5e94        e5-ba-94 
Ó§     a7d3      7f28        e7-bc-a8 
Ó¨     a8d3      83b9        e8-8e-b9 
Ó©     a9d3      8424        e8-90-a4 
Óª     aad3      8425        e8-90-a5 
Ó«     abd3      8367        e8-8d-a7 
Ó¬     acd3      8747        e8-9d-87 
Ó­     add3      8fce        e8-bf-8e 
Ó®     aed3      8d62        e8-b5-a2 
Ó¯     afd3      76c8        e7-9b-88 
Ó°     b0d3      5f71        e5-bd-b1 
Ó±     b1d3      9896        e9-a2-96 
Ó²     b2d3      786c        e7-a1-ac 
Ó³     b3d3      6620        e6-98-a0 
Ó´     b4d3      54df        e5-93-9f 
Óµ     b5d3      62e5        e6-8b-a5 
Ó¶     b6d3      4f63        e4-bd-a3 
Ó·     b7d3      81c3        e8-87-83 
Ó¸     b8d3      75c8        e7-97-88 
Ó¹     b9d3      5eb8        e5-ba-b8 
Óº     bad3      96cd        e9-9b-8d 
Ó»     bbd3      8e0a        e8-b8-8a 
Ó¼     bcd3      86f9        e8-9b-b9 
Ó½     bdd3      548f        e5-92-8f 
Ó¾     bed3      6cf3        e6-b3-b3 
Ó¿     bfd3      6d8c        e6-b6-8c 
ÓÀ     c0d3      6c38        e6-b0-b8 
ÓÁ     c1d3      607f        e6-81-bf 
ÓÂ     c2d3      52c7        e5-8b-87 
ÓÃ     c3d3      7528        e7-94-a8 
ÓÄ     c4d3      5e7d        e5-b9-bd 
ÓÅ     c5d3      4f18        e4-bc-98 
ÓÆ     c6d3      60a0        e6-82-a0 
ÓÇ     c7d3      5fe7        e5-bf-a7 
ÓÈ     c8d3      5c24        e5-b0-a4 
ÓÉ     c9d3      7531        e7-94-b1 
ÓÊ     cad3      90ae        e9-82-ae 
ÓË     cbd3      94c0        e9-93-80 
ÓÌ     ccd3      72b9        e7-8a-b9 
ÓÍ     cdd3      6cb9        e6-b2-b9 
ÓÎ     ced3      6e38        e6-b8-b8 
ÓÏ     cfd3      9149        e9-85-89 
ÓÐ     d0d3      6709        e6-9c-89 
ÓÑ     d1d3      53cb        e5-8f-8b 
ÓÒ     d2d3      53f3        e5-8f-b3 
ÓÓ     d3d3      4f51        e4-bd-91 
ÓÔ     d4d3      91c9        e9-87-89 
ÓÕ     d5d3      8bf1        e8-af-b1 
ÓÖ     d6d3      53c8        e5-8f-88 
Ó×     d7d3      5e7c        e5-b9-bc 
ÓØ     d8d3      8fc2        e8-bf-82 
ÓÙ     d9d3      6de4        e6-b7-a4 
ÓÚ     dad3      4e8e        e4-ba-8e 
ÓÛ     dbd3      76c2        e7-9b-82 
ÓÜ     dcd3      6986        e6-a6-86 
ÓÝ     ddd3      865e        e8-99-9e 
ÓÞ     ded3      611a        e6-84-9a 
Óß     dfd3      8206        e8-88-86 
