×Ö·û----GB-------Unicode------UTF-8
¤¢     a2a4      3042        e3-81-82 
¤£     a3a4      3043        e3-81-83 
¤¤     a4a4      3044        e3-81-84 
¤¥     a5a4      3045        e3-81-85 
¤¦     a6a4      3046        e3-81-86 
¤§     a7a4      3047        e3-81-87 
¤¨     a8a4      3048        e3-81-88 
¤©     a9a4      3049        e3-81-89 
¤ª     aaa4      304a        e3-81-8a 
¤«     aba4      304b        e3-81-8b 
¤¬     aca4      304c        e3-81-8c 
¤­     ada4      304d        e3-81-8d 
¤®     aea4      304e        e3-81-8e 
¤¯     afa4      304f        e3-81-8f 
¤°     b0a4      3050        e3-81-90 
¤±     b1a4      3051        e3-81-91 
¤²     b2a4      3052        e3-81-92 
¤³     b3a4      3053        e3-81-93 
¤´     b4a4      3054        e3-81-94 
¤µ     b5a4      3055        e3-81-95 
¤¶     b6a4      3056        e3-81-96 
¤·     b7a4      3057        e3-81-97 
¤¸     b8a4      3058        e3-81-98 
¤¹     b9a4      3059        e3-81-99 
¤º     baa4      305a        e3-81-9a 
¤»     bba4      305b        e3-81-9b 
¤¼     bca4      305c        e3-81-9c 
¤½     bda4      305d        e3-81-9d 
¤¾     bea4      305e        e3-81-9e 
¤¿     bfa4      305f        e3-81-9f 
¤À     c0a4      3060        e3-81-a0 
¤Á     c1a4      3061        e3-81-a1 
¤Â     c2a4      3062        e3-81-a2 
¤Ã     c3a4      3063        e3-81-a3 
¤Ä     c4a4      3064        e3-81-a4 
¤Å     c5a4      3065        e3-81-a5 
¤Æ     c6a4      3066        e3-81-a6 
¤Ç     c7a4      3067        e3-81-a7 
¤È     c8a4      3068        e3-81-a8 
¤É     c9a4      3069        e3-81-a9 
¤Ê     caa4      306a        e3-81-aa 
¤Ë     cba4      306b        e3-81-ab 
¤Ì     cca4      306c        e3-81-ac 
¤Í     cda4      306d        e3-81-ad 
¤Î     cea4      306e        e3-81-ae 
¤Ï     cfa4      306f        e3-81-af 
¤Ð     d0a4      3070        e3-81-b0 
¤Ñ     d1a4      3071        e3-81-b1 
¤Ò     d2a4      3072        e3-81-b2 
¤Ó     d3a4      3073        e3-81-b3 
¤Ô     d4a4      3074        e3-81-b4 
¤Õ     d5a4      3075        e3-81-b5 
¤Ö     d6a4      3076        e3-81-b6 
¤×     d7a4      3077        e3-81-b7 
¤Ø     d8a4      3078        e3-81-b8 
¤Ù     d9a4      3079        e3-81-b9 
¤Ú     daa4      307a        e3-81-ba 
¤Û     dba4      307b        e3-81-bb 
¤Ü     dca4      307c        e3-81-bc 
¤Ý     dda4      307d        e3-81-bd 
¤Þ     dea4      307e        e3-81-be 
¤ß     dfa4      307f        e3-81-bf 
¤à     e0a4      3080        e3-82-80 
¤á     e1a4      3081        e3-82-81 
¤â     e2a4      3082        e3-82-82 
¤ã     e3a4      3083        e3-82-83 
¤ä     e4a4      3084        e3-82-84 
¤å     e5a4      3085        e3-82-85 
¤æ     e6a4      3086        e3-82-86 
¤ç     e7a4      3087        e3-82-87 
¤è     e8a4      3088        e3-82-88 
¤é     e9a4      3089        e3-82-89 
¤ê     eaa4      308a        e3-82-8a 
¤ë     eba4      308b        e3-82-8b 
¤ì     eca4      308c        e3-82-8c 
¤í     eda4      308d        e3-82-8d 
¤î     eea4      308e        e3-82-8e 
¤ï     efa4      308f        e3-82-8f 
¤ð     f0a4      3090        e3-82-90 
¤ñ     f1a4      3091        e3-82-91 
¤ò     f2a4      3092        e3-82-92 
¤ó     f3a4      3093        e3-82-93 
¥¡     a1a5      30a1        e3-82-a1 
¥¢     a2a5      30a2        e3-82-a2 
¥£     a3a5      30a3        e3-82-a3 
¥¤     a4a5      30a4        e3-82-a4 
¥¥     a5a5      30a5        e3-82-a5 
¥¦     a6a5      30a6        e3-82-a6 
¥§     a7a5      30a7        e3-82-a7 
¥¨     a8a5      30a8        e3-82-a8 
¥©     a9a5      30a9        e3-82-a9 
¥ª     aaa5      30aa        e3-82-aa 
¥«     aba5      30ab        e3-82-ab 
¥¬     aca5      30ac        e3-82-ac 
¥­     ada5      30ad        e3-82-ad 
¥®     aea5      30ae        e3-82-ae 
¥¯     afa5      30af        e3-82-af 
¥°     b0a5      30b0        e3-82-b0 
¥±     b1a5      30b1        e3-82-b1 
¥²     b2a5      30b2        e3-82-b2 
¥³     b3a5      30b3        e3-82-b3 
¥´     b4a5      30b4        e3-82-b4 
¥µ     b5a5      30b5        e3-82-b5 
¥¶     b6a5      30b6        e3-82-b6 
¥·     b7a5      30b7        e3-82-b7 
¥¸     b8a5      30b8        e3-82-b8 
¥¹     b9a5      30b9        e3-82-b9 
¥º     baa5      30ba        e3-82-ba 
¥»     bba5      30bb        e3-82-bb 
